id,location_code,name,description,location_type,parent_location_id,building,floor,room,address,city,state,zip_code,country,gps_coordinates,contact_person,contact_phone,contact_email,operating_hours,timezone,created_date
TRUE,TF-FAC-001,TechFlow Main Manufacturing Facility,TechFlow Main Manufacturing Facility,Manufacturing Facility,,,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
2,TF-FAC-001-PRO01,Production Building A,Production Building A at TechFlow Main Manufacturing Facility,Building,TRUE,Production Building A,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
3,TF-FAC-001-PRO01-FLO01,Production Building A - Floor 1,Floor 1 of Production Building A,Floor,2,Production Building A,Floor 1,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
4,TF-FAC-001-PRO01-FLO01-LIN01,Production Building A - Floor 1 - Line 1,Line 1 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 1,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
5,TF-FAC-001-PRO01-FLO01-LIN02,Production Building A - Floor 1 - Line 2,Line 2 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 2,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
6,TF-FAC-001-PRO01-FLO01-LIN03,Production Building A - Floor 1 - Line 3,Line 3 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 3,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
7,TF-FAC-001-PRO01-FLO01-LIN04,Production Building A - Floor 1 - Line 4,Line 4 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 4,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
8,TF-FAC-001-PRO01-FLO01-QUA05,Production Building A - Floor 1 - Quality Station,Quality Station in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Quality Station,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
9,TF-FAC-001-PRO01-FLO01-MAI06,Production Building A - Floor 1 - Maintenance Shop,Maintenance Shop in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Maintenance Shop,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
10,TF-FAC-001-PRO01-FLO02,Production Building A - Floor 2,Floor 2 of Production Building A,Floor,2,Production Building A,Floor 2,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
