id,asset_tag,name,category,subcategory,location_id,parent_asset_id,manufacturer,model,serial_number,purchase_date,installation_date,warranty_expiry,purchase_cost,current_value,depreciation_rate,status,condition_rating,criticality,last_maintenance_date,next_maintenance_due,maintenance_frequency_days,operating_hours,max_operating_hours,energy_consumption,specifications,documentation_url,qr_code,iot_device_id,sensor_data,ai_health_score,failure_predictions,created_date,updated_date,created_by
TRUE,TF-PRO-0001,Fanuc CNC Machine Fanuc-184B,Production Equipment,CNC Machine,42,,Fanuc,Fanuc-184B,FAN116028,2022-08-29 13:39:07.697322,2022-10-01 13:39:07.697322,2027-04-08 13:39:07.697322,367831,219068.81381288674,,Active,5,High,2025-04-09 13:39:07.697334,2025-10-06 13:39:07.697334,180,15798,35469,,"{""Power Rating"": ""20 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""6m x 1m x 2m"", ""Weight"": ""4698 kg"", ""Production Rate"": ""392 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697409,2025-09-28 18:39:07,TRUE
2,TF-PRO-0002,Eaton CNC Machine Eaton-511B,Production Equipment,CNC Machine,62,,Eaton,Eaton-511B,EAT954188,2023-03-16 13:39:07.697808,2023-04-20 13:39:07.697808,2024-03-20 13:39:07.697808,268002,208601.91819061723,,Active,4,High,2024-12-16 13:39:07.697814,2025-12-16 13:39:07.697814,365,19346,49462,,"{""Power Rating"": ""12 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""3m x 2m x 2m"", ""Weight"": ""1537 kg"", ""Production Rate"": ""865 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697829,2025-09-28 18:39:07,TRUE
3,TF-PRO-0003,Honeywell CNC Machine Honeywell-392B,Production Equipment,CNC Machine,36,,Honeywell,Honeywell-392B,HON105890,2020-05-03 13:39:07.697854,2020-06-01 13:39:07.697854,2023-05-06 13:39:07.697854,284093,202172.57051437433,,Active,4,High,2025-09-17 13:39:07.697857,2025-12-16 13:39:07.697857,90,45848,88962,,"{""Power Rating"": ""20 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""5m x 1m x 2m"", ""Weight"": ""827 kg"", ""Production Rate"": ""347 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697865,2025-09-28 18:39:07,TRUE
4,TF-PRO-0004,Balluff Assembly Line Balluff-605Pro,Production Equipment,Assembly Line,78,,Balluff,Balluff-605Pro,BAL298887,2021-05-28 13:39:07.697892,2021-07-20 13:39:07.697892,2023-07-10 13:39:07.697892,120508,94360.99368278653,,Active,3,Critical,2025-06-02 13:39:07.697895,2025-11-29 13:39:07.697895,180,24289,67690,,"{""Power Rating"": ""8 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""7m x 4m x 3m"", ""Weight"": ""2359 kg"", ""Production Rate"": ""241 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697901,2025-09-28 18:39:07,TRUE
5,TF-PRO-0005,Allen-Bradley Assembly Line Allen-Bradley-917Pro,Production Equipment,Assembly Line,19,,Allen-Bradley,Allen-Bradley-917Pro,ALL433461,2023-08-03 13:39:07.697922,2023-09-13 13:39:07.697922,2025-12-02 13:39:07.697922,229721,137160.39470477952,,Active,4,High,2025-08-22 13:39:07.697925,2025-10-21 13:39:07.697925,60,6530,34961,,"{""Power Rating"": ""27 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""2m x 2m x 3m"", ""Weight"": ""1997 kg"", ""Production Rate"": ""180 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697931,2025-09-28 18:39:07,TRUE
6,TF-PRO-0006,Allen-Bradley Injection Molding Machine Allen-Bradley-698A,Production Equipment,Injection Molding Machine,97,,Allen-Bradley,Allen-Bradley-698A,ALL896754,2022-11-21 13:39:07.697955,2023-01-18 13:39:07.697955,2025-10-08 13:39:07.697955,191201,98396.27150965187,,Active,5,High,2025-08-18 13:39:07.697958,2025-10-17 13:39:07.697958,60,14484,29952,,"{""Power Rating"": ""38 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""6m x 3m x 3m"", ""Weight"": ""2589 kg"", ""Production Rate"": ""823 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697964,2025-09-28 18:39:07,TRUE
7,TF-PRO-0007,Parker Hannifin SMT Line Parker-352Pro,Production Equipment,SMT Line,132,,Parker Hannifin,Parker-352Pro,PAR945334,2023-05-03 13:39:07.697984,2023-05-30 13:39:07.697984,2025-08-20 13:39:07.697984,258782,180987.01306973552,,Active,5,High,2024-10-23 13:39:07.697987,2025-10-23 13:39:07.697987,365,8414,25872,,"{""Power Rating"": ""15 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""8m x 3m x 2m"", ""Weight"": ""1254 kg"", ""Production Rate"": ""283 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.697993,2025-09-28 18:39:07,TRUE
8,TF-PRO-0008,Honeywell SMT Line Honeywell-359Pro,Production Equipment,SMT Line,80,,Honeywell,Honeywell-359Pro,HON180360,2023-04-10 13:39:07.698012,2023-06-07 13:39:07.698012,2025-12-06 13:39:07.698012,288284,174746.209425821,,Active,3,High,2024-10-21 13:39:07.698020,2025-10-21 13:39:07.698020,365,6754,48057,,"{""Power Rating"": ""48 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""7m x 1m x 2m"", ""Weight"": ""2018 kg"", ""Production Rate"": ""212 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698025,2025-09-28 18:39:07,TRUE
9,TF-PRO-0009,Parker Hannifin SMT Line Parker-352A,Production Equipment,SMT Line,132,,Parker Hannifin,Parker-352A,PAR314443,2021-12-27 13:39:07.698047,2022-02-19 13:39:07.698047,2024-02-02 13:39:07.698047,232333,157575.66787582266,,Active,3,Critical,2025-06-30 13:39:07.698051,2025-09-28 13:39:07.698051,90,12362,32634,,"{""Power Rating"": ""50 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""5m x 4m x 2m"", ""Weight"": ""785 kg"", ""Production Rate"": ""941 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698057,2025-09-28 18:39:07,TRUE
10,TF-PRO-0010,Honeywell Pick and Place Machine Honeywell-168X,Production Equipment,Pick and Place Machine,84,,Honeywell,Honeywell-168X,HON981485,2024-08-25 13:39:07.698081,2024-10-23 13:39:07.698081,2025-10-31 13:39:07.698081,211278,101186.99904115578,,Active,5,High,2025-05-23 13:39:07.698084,2025-11-19 13:39:07.698084,180,5527,44872,,"{""Power Rating"": ""39 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""7m x 4m x 2m"", ""Weight"": ""795 kg"", ""Production Rate"": ""898 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698090,2025-09-28 18:39:07,TRUE
