id,part_number,name,description,category,subcategory,manufacturer,manufacturer_part_number,supplier_id,unit_of_measure,unit_cost,stock_quantity,reserved_quantity,min_stock_level,max_stock_level,reorder_point,reorder_quantity,lead_time_days,storage_location,bin_location,barcode,weight,dimensions,hazmat_classification,shelf_life_days,warranty_period_days,last_counted_date,abc_classification,usage_rate_monthly,ai_demand_forecast,ai_optimal_stock,price_history,supplier_alternates,compatible_assets,created_date,updated_date
TRUE,TF-MEC-BEA-0001,GE Bearings 188,High-quality bearings for industrial applications,Mechanical,Bearings,GE,GE38364,2,LB,104.35,76,FALSE,76,7,76,15,22,8,Warehouse A-1,Warehouse A-1-A01,TF517393577635,,,,,,,A,42,{},,[],[],[],2025-09-28 13:39:07.700818,2025-09-28 18:39:07
2,TF-MEC-BEA-0002,GE Bearings 206,High-quality bearings for industrial applications,Mechanical,Bearings,GE,GE25141,4,LB,319.94,69,FALSE,69,11,117,23,35,11,Chemical Storage,Chemical Storage-C20,TF487612502021,,,,,,,B,38.13,{},,[],[],[],2025-09-28 13:39:07.701542,2025-09-28 18:39:07
3,TF-MEC-BEA-0003,Siemens Bearings 421,High-quality bearings for industrial applications,Mechanical,Bearings,Siemens,SIE39159,TRUE,BOX,459.05,43,FALSE,43,7,74,14,22,6,Maintenance Shop,Maintenance Shop-C05,TF434643593639,,,,,,,C,13.62,{},,[],[],[],2025-09-28 13:39:07.701560,2025-09-28 18:39:07
4,TF-MEC-BEA-0004,Siemens Bearings 760,High-quality bearings for industrial applications,Mechanical,Bearings,Siemens,SIE49918,2,FT,333.8,124,FALSE,124,12,125,25,37,14,Maintenance Shop,Maintenance Shop-A10,TF467668926233,,,,,,,C,48.03,{},,[],[],[],2025-09-28 13:39:07.701574,2025-09-28 18:39:07
5,TF-MEC-BEA-0005,Siemens Bearings 291,High-quality bearings for industrial applications,Mechanical,Bearings,Siemens,SIE68771,3,FT,333.44,92,FALSE,92,13,131,26,39,20,Warehouse B-1,Warehouse B-1-C17,TF517741690831,,,,,,,A,36.42,{},,[],[],[],2025-09-28 13:39:07.701587,2025-09-28 18:39:07
6,TF-MEC-BEA-0006,Bosch Rexroth Bearings 111,High-quality bearings for industrial applications,Mechanical,Bearings,Bosch Rexroth,BOS52264,TRUE,GAL,64.74,61,FALSE,61,10,105,21,31,7,Chemical Storage,Chemical Storage-B11,TF663436333214,,,,,,,C,48.26,{},,[],[],[],2025-09-28 13:39:07.701599,2025-09-28 18:39:07
7,TF-MEC-BEL-0007,Emerson Belts 712,High-quality belts for industrial applications,Mechanical,Belts,Emerson,EME70654,TRUE,EA,234.49,42,FALSE,42,5,51,10,15,9,Warehouse A-2,Warehouse A-2-A05,TF613470434234,,,,,,,B,19.91,{},,[],[],[],2025-09-28 13:39:07.701612,2025-09-28 18:39:07
8,TF-MEC-BEL-0008,Phoenix Contact Belts 460,High-quality belts for industrial applications,Mechanical,Belts,Phoenix Contact,PHO44280,3,BOX,177.06,90,FALSE,90,10,104,20,31,20,Warehouse A-1,Warehouse A-1-C09,TF822441733229,,,,,,,B,30.5,{},,[],[],[],2025-09-28 13:39:07.701624,2025-09-28 18:39:07
9,TF-MEC-BEL-0009,Omron Belts 204,High-quality belts for industrial applications,Mechanical,Belts,Omron,OMR50891,2,GAL,56.68,51,FALSE,51,20,200,40,60,12,Tool Crib,Tool Crib-A17,TF572014799011,,,,,,,C,27.34,{},,[],[],[],2025-09-28 13:39:07.701636,2025-09-28 18:39:07
10,TF-MEC-GEA-0010,Emerson Gears 552,High-quality gears for industrial applications,Mechanical,Gears,Emerson,EME32860,3,LB,113.24,101,FALSE,101,12,128,25,38,13,Warehouse B-1,Warehouse B-1-A14,TF664479201732,,,,,,,B,1.84,{},,[],[],[],2025-09-28 13:39:07.701648,2025-09-28 18:39:07
11,TF-MEC-GEA-0011,Pepperl+Fuchs Gears 141,High-quality gears for industrial applications,Mechanical,Gears,Pepperl+Fuchs,PEP16924,2,LB,124.7,70,FALSE,70,8,84,16,25,11,Maintenance Shop,Maintenance Shop-C08,TF253642717604,,,,,,,B,34,{},,[],[],[],2025-09-28 13:39:07.701659,2025-09-28 18:39:07
12,TF-MEC-GEA-0012,Mitsubishi Gears 262,High-quality gears for industrial applications,Mechanical,Gears,Mitsubishi,MIT98600,TRUE,BOX,41.71,29,FALSE,29,18,187,37,56,5,Warehouse B-1,Warehouse B-1-A11,TF117377651308,,,,,,,C,45.29,{},,[],[],[],2025-09-28 13:39:07.701671,2025-09-28 18:39:07
13,TF-MEC-SEA-0013,Honeywell Seals 185,High-quality seals for industrial applications,Mechanical,Seals,Honeywell,HON42844,2,ROLL,230.03,25,FALSE,25,5,51,10,15,17,Electronics Lab,Electronics Lab-B14,TF598638586711,,,,,,,A,3.22,{},,[],[],[],2025-09-28 13:39:07.701683,2025-09-28 18:39:07
14,TF-MEC-SEA-0014,SMC Seals 803,High-quality seals for industrial applications,Mechanical,Seals,SMC,SMC98943,5,BOX,59.96,4,FALSE,4,2,21,4,6,16,Chemical Storage,Chemical Storage-B02,TF319710873897,,,,,,,C,45.26,{},,[],[],[],2025-09-28 13:39:07.701695,2025-09-28 18:39:07
15,TF-MEC-SEA-0015,Phoenix Contact Seals 946,High-quality seals for industrial applications,Mechanical,Seals,Phoenix Contact,PHO60653,TRUE,BOX,191.27,52,FALSE,52,6,67,13,20,19,Chemical Storage,Chemical Storage-A14,TF640192371185,,,,,,,A,23.8,{},,[],[],[],2025-09-28 13:39:07.701706,2025-09-28 18:39:07
16,TF-MEC-SEA-0016,Cognex Seals 318,High-quality seals for industrial applications,Mechanical,Seals,Cognex,COG32148,TRUE,BOX,11.25,42,FALSE,42,8,80,16,24,5,Tool Crib,Tool Crib-C03,TF119648784091,,,,,,,C,33.03,{},,[],[],[],2025-09-28 13:39:07.701719,2025-09-28 18:39:07
17,TF-MEC-SEA-0017,Schneider Electric Seals 593,High-quality seals for industrial applications,Mechanical,Seals,Schneider Electric,SCH99072,TRUE,BOX,493.88,55,FALSE,55,17,178,35,53,17,Warehouse B-2,Warehouse B-2-A18,TF440618511490,,,,,,,A,44.19,{},,[],[],[],2025-09-28 13:39:07.701730,2025-09-28 18:39:07
18,TF-MEC-SEA-0018,Bosch Rexroth Seals 955,High-quality seals for industrial applications,Mechanical,Seals,Bosch Rexroth,BOS71343,5,FT,45.19,23,FALSE,23,4,49,9,14,14,Electronics Lab,Electronics Lab-A01,TF866386916012,,,,,,,B,38.86,{},,[],[],[],2025-09-28 13:39:07.701742,2025-09-28 18:39:07
19,TF-MEC-SEA-0019,Siemens Seals 402,High-quality seals for industrial applications,Mechanical,Seals,Siemens,SIE98208,5,ROLL,81.14,67,FALSE,67,6,67,13,20,17,Warehouse B-2,Warehouse B-2-C14,TF286441183323,,,,,,,B,28.1,{},,[],[],[],2025-09-28 13:39:07.701753,2025-09-28 18:39:07
20,TF-MEC-GAS-0020,Johnson Controls Gaskets 905,High-quality gaskets for industrial applications,Mechanical,Gaskets,Johnson Controls,JOH66445,2,BOX,482.34,81,FALSE,81,12,127,25,38,16,Warehouse A-1,Warehouse A-1-A02,TF310500366615,,,,,,,A,34.34,{},,[],[],[],2025-09-28 13:39:07.701765,2025-09-28 18:39:07
21,TF-MEC-GAS-0021,Balluff Gaskets 126,High-quality gaskets for industrial applications,Mechanical,Gaskets,Balluff,BAL43822,4,LB,456.3,46,FALSE,46,6,65,13,19,4,Chemical Storage,Chemical Storage-C03,TF986627347276,,,,,,,C,44.23,{},,[],[],[],2025-09-28 13:39:07.701776,2025-09-28 18:39:07
22,TF-MEC-GAS-0022,Bosch Rexroth Gaskets 478,High-quality gaskets for industrial applications,Mechanical,Gaskets,Bosch Rexroth,BOS82122,2,LB,327.91,34,FALSE,34,5,55,11,16,21,Warehouse B-1,Warehouse B-1-A08,TF322293100651,,,,,,,B,22.33,{},,[],[],[],2025-09-28 13:39:07.701788,2025-09-28 18:39:07
